NUM     NOME      itp   DI HI M DF HF M      VAZAO
XXX XXXXXXXXXXXX   X    XXxXXxXxXXxXXxX     XXXXXXXXX
 98 MONTE CLARO    1    10      F                 184
 99 14 DE JULHO    1    04      F                  27
 99 14 DE JULHO    1    05      F                  28
 99 14 DE JULHO    1    06      F                  26
 99 14 DE JULHO    1    07      F                  28
 99 14 DE JULHO    1    08      F                  31
 99 14 DE JULHO    1    09      F                  27
 99 14 DE JULHO    1    10      F                  24
225 S APIACAS      1    04      F                  21
225 S APIACAS      1    06      F                  20
225 S APIACAS      1    08      F                  19
225 S APIACAS      1    10      F                  18
103 FOZ CHAPECO    1    04      F                 410
103 FOZ CHAPECO    1    05      F                 360
103 FOZ CHAPECO    1    06      F                 275
103 FOZ CHAPECO    1    07      F                 244
103 FOZ CHAPECO    1    08      F                 310
103 FOZ CHAPECO    1    09      F                 293
103 FOZ CHAPECO    1    10      F                 281
169 SOBRADINHO     3    04      F                 782
169 SOBRADINHO     3    05      F                 777
169 SOBRADINHO     3    06      F                 776
169 SOBRADINHO     3    08      F                 774
169 SOBRADINHO     3    09      F                 769
169 SOBRADINHO     3    10      F                 763
172 ITAPARICA      1    04      F                   0
173 MOXOTO         1    04      F                   0
174 P.AFONSO 123   1    04      F                   0
175 P.AFONSO 4     1    04      F                   0
178 XINGO          1    04      F                   0
190 B. ESPERANCA   1    04      F                 165
190 B. ESPERANCA   1    06      F                 164
190 B. ESPERANCA   1    08      F                 163
190 B. ESPERANCA   1    10      F                 162
189 P. CAVALO      1    04      F                  14
275 TUCURUI        1    04      F                 503
275 TUCURUI        1    05      F                 489
275 TUCURUI        1    06      F                 476
275 TUCURUI        1    07      F                 465
275 TUCURUI        1    08      F                 463
275 TUCURUI        1    09      F                 459
275 TUCURUI        1    10      F                 482
272 CURUA-UNA      1    04      F                 129
272 CURUA-UNA      1    05      F                 128
272 CURUA-UNA      1    06      F                 126
272 CURUA-UNA      1    07      F                 125
272 CURUA-UNA      1    08      F                 124
272 CURUA-UNA      1    10      F                 125
279 SAMUEL         1    04      F                  66
279 SAMUEL         1    05      F                  62
279 SAMUEL         1    06      F                  58
279 SAMUEL         1    07      F                  55
279 SAMUEL         1    08      F                  54
279 SAMUEL         1    09      F                  52
279 SAMUEL         1    10      F                  49
280 COARACY NUNE   1    04      F                   1
204 CACH.CALDEIR   1    04      F                 261
204 CACH.CALDEIR   1    05      F                 257
204 CACH.CALDEIR   1    06      F                 254
204 CACH.CALDEIR   1    07      F                 250
204 CACH.CALDEIR   1    08      F                 248
204 CACH.CALDEIR   1    09      F                 245
204 CACH.CALDEIR   1    10      F                 242
127 SOBRAGI        1    04      F                  14
127 SOBRAGI        1    07      F                  13
126 PICADA         1    04      F                  12
283 STA CLARA MG   1    04      F                   6
145 SUICA          1    04      F                   3
261 LAJEADO        1    04      F                  77
261 LAJEADO        1    05      F                  72
261 LAJEADO        1    06      F                  67
261 LAJEADO        1    07      F                  64
261 LAJEADO        1    08      F                  60
261 LAJEADO        1    09      F                  57
261 LAJEADO        1    10      F                  54
 48 PIRAJU         1    04      F                   1
 53 PARANAPANEMA   1    04      F                   0
249 OURINHOS       1    04      F                   1
241 SLT VERDINHO   1    04      F                   5
304 ITIQUIRA I     1    04      F                  35
304 ITIQUIRA I     1    06      F                  34
305 ITIQUIRA II    1    04      F                   0
196 GUAPORE        1    04      F                  31
196 GUAPORE        1    09      F                  30
195 JAURU          1    04      F                  63
195 JAURU          1    05      F                  62
195 JAURU          1    06      F                  61
195 JAURU          1    09      F                  60
 95 QUEBRA QUEIX   1    04      F                  98
 95 QUEBRA QUEIX   1    05      F                  94
 95 QUEBRA QUEIX   1    06      F                  87
 95 QUEBRA QUEIX   1    07      F                  84
 95 QUEBRA QUEIX   1    08      F                  94
 95 QUEBRA QUEIX   1    09      F                 107
 95 QUEBRA QUEIX   1    10      F                 110
203 CORUMBA III    1    04      F                   5
203 CORUMBA III    1    06      F                   4
154 ITAPEBI        1    04      F                   7
154 ITAPEBI        1    05      F                   6
310 DARDANELOS     1    04      F                  59
310 DARDANELOS     1    06      F                  58
310 DARDANELOS     1    08      F                  57
 29 CORUMBA IV     1    04      F                  22
 29 CORUMBA IV     1    05      F                  21
 29 CORUMBA IV     1    06      F                  20
 29 CORUMBA IV     1    08      F                  19
 94 MONJOLINHO     1    04      F                 142
 94 MONJOLINHO     1    05      F                 122
 94 MONJOLINHO     1    06      F                 106
 94 MONJOLINHO     1    07      F                 119
 94 MONJOLINHO     1    08      F                 109
 94 MONJOLINHO     1    09      F                  98
 94 MONJOLINHO     1    10      F                  93
215 SALTO PILAO    1    04      F                 201
215 SALTO PILAO    1    05      F                 221
215 SALTO PILAO    1    06      F                 187
215 SALTO PILAO    1    07      F                 230
215 SALTO PILAO    1    08      F                 337
215 SALTO PILAO    1    09      F                 367
215 SALTO PILAO    1    10      F                 350
155 RETIRO BAIXO   1    04      F                  23
155 RETIRO BAIXO   1    07      F                  22
311 CACU           1    04      F                  47
311 CACU           1    05      F                  45
311 CACU           1    06      F                  44
311 CACU           1    07      F                  43
311 CACU           1    08      F                  42
312 B. COQUEIROS   1    04      F                   2
315 FOZ R. CLARO   1    04      F                   4
315 FOZ R. CLARO   1    06      F                   3
 21 SERRA FACAO    1    04      F                  12
 21 SERRA FACAO    1    05      F                  11
 21 SERRA FACAO    1    09      F                  10
290 ESPORA         1    04      F                  47
290 ESPORA         1    05      F                  46
101 SAO JOSE       1    04      F                 624
101 SAO JOSE       1    05      F                 666
101 SAO JOSE       1    06      F                 756
101 SAO JOSE       1    07      F                 773
101 SAO JOSE       1    08      F                 696
101 SAO JOSE       1    09      F                 636
101 SAO JOSE       1    10      F                 565
276 RONDON II      1    04      F                  66
276 RONDON II      1    05      F                  65
276 RONDON II      1    06      F                  64
276 RONDON II      1    07      F                  69
276 RONDON II      1    08      F                  70
102 PASSO S JOAO   1    04      F                  24
102 PASSO S JOAO   1    05      F                  26
102 PASSO S JOAO   1    06      F                  29
102 PASSO S JOAO   1    07      F                  30
102 PASSO S JOAO   1    08      F                  27
102 PASSO S JOAO   1    09      F                  24
102 PASSO S JOAO   1    10      F                  22
277 BALBINA        1    04      F                 319
277 BALBINA        1    05      F                 330
277 BALBINA        1    06      F                 339
277 BALBINA        1    07      F                 346
277 BALBINA        1    08      F                 359
277 BALBINA        1    09      F                 392
277 BALBINA        1    10      F                 435
285 JIRAU          1    04      F                3816
285 JIRAU          1    05      F                3752
285 JIRAU          1    06      F                3730
285 JIRAU          1    07      F                3761
285 JIRAU          1    08      F                3830
285 JIRAU          1    09      F                3902
285 JIRAU          1    10      F                3952
286 STO ANT JARI   1    04      F                 414
286 STO ANT JARI   1    05      F                 407
286 STO ANT JARI   1    06      F                 402
286 STO ANT JARI   1    07      F                 398
286 STO ANT JARI   1    08      F                 394
286 STO ANT JARI   1    09      F                 389
286 STO ANT JARI   1    10      F                 386
284 FERREIRA GOM   1    04      F                   2
227 SINOP          1    04      F                 394
227 SINOP          1    05      F                 388
227 SINOP          1    06      F                 382
227 SINOP          1    07      F                 376
227 SINOP          1    08      F                 370
227 SINOP          1    09      F                 364
227 SINOP          1    10      F                 360
228 COLIDER        1    04      F                  37
228 COLIDER        1    05      F                  36
